Type,Time,Minimum
Global CPU,9.789,0.221823
Global CPU,10.322,0.366969
Global CPU,10.279,0.100637
Global CPU,10.311,0.152922
Global CPU,10.245,0.29618
Global CPU,9.676,0.155198
Global CPU,10.108,0.10798
Global CPU,10.315,0.391684
Global CPU,10.356,0.217439
Global CPU,10.263,0.084752
Global GPU,0.161,-232.809387
Global GPU,0.158,-232.809387
Global GPU,0.157,-232.809387
Global GPU,0.163,-232.809387
Global GPU,0.155,-232.809387
Global GPU,0.167,-232.809387
Global GPU,0.16,-213.572723
Global GPU,0.161,-213.572723
Global GPU,0.159,-213.572723
Global GPU,0.161,-213.572723
